movie_id,title,genre,release_year,duration_minutes,avg_rating
1,My Roommate's Wedding,Comedy,1991,174,3.2
2,Colony Zero,Sci-Fi,1998,174,2.8
3,The Forgotten War,Documentary,1995,155,3.6
4,Crossfire Nation,Action,1995,107,3.1
5,Blackout City,Action,2002,171,4.1
6,Inside the Kitchen,Documentary,2016,108,3.6
7,Behind Closed Doors,Thriller,1990,177,4.5
8,The Dragon's Crown,Fantasy,2011,115,2.9
9,The Note She Left,Romance,1996,91,3.4
10,A Year in Florence,Romance,2012,157,3.2
11,Rogue Protocol,Action,2019,148,2.8
12,The Enchanted Forest,Fantasy,1995,150,3.2
13,Love in the Vineyard,Romance,2002,170,2.7
14,The Martian Convoy,Sci-Fi,2008,90,4.6
15,Late for Everything,Comedy,2014,115,3.6
16,The Summer We Met,Romance,2000,127,3.4
17,Cold Case Confession,Thriller,1994,157,4.1
18,Empire of Data,Documentary,2005,100,3.7
19,The Missing Hour,Thriller,2004,167,3.3
20,The Silent Operative,Action,2004,84,4.5
21,Kingdom of Embers,Fantasy,2007,88,3.0
22,The Wedding Detour,Romance,2003,163,3.7
23,Starlight Circus,Animation,1999,113,2.8
24,Life Underground,Documentary,2024,113,4.4
25,Realm of Shadows,Fantasy,2015,126,3.0
26,After the Storm,Drama,2022,143,2.7
27,Final Verdict,Action,1997,99,4.1
28,Curse of the Ninth Moon,Fantasy,1994,129,3.5
29,The Little Explorer,Animation,2023,112,4.9
30,The Last Stand,Action,1997,167,4.7
31,Trace Evidence,Thriller,2011,94,3.2
32,Broken Silence,Drama,2019,80,4.9
33,The Informant,Thriller,2022,177,2.9
34,The Wrong Twin,Comedy,2009,161,3.8
35,Dawn of the Machines,Sci-Fi,1999,127,4.4
36,The Last Glacier,Documentary,2023,80,4.0
37,Kingdom of Clouds,Animation,1991,94,4.8
38,The Silent Witness,Thriller,2005,87,3.1
39,Neighborhood Watch,Comedy,1995,173,3.7
40,Family Road Trip,Comedy,2024,178,2.8
41,The Toy Rebellion,Animation,2000,113,3.8
42,Guardians of the Old Wood,Fantasy,2003,149,4.4
43,Echoes of Tomorrow,Sci-Fi,2009,131,5.0
44,Coffee Shop Confessions,Romance,2018,146,3.6
45,Ghost Protocol X,Sci-Fi,2004,88,3.3
46,Wild Frontiers,Documentary,2004,155,3.1
47,The Substitute Teacher,Comedy,1993,109,2.7
48,Midnight Extraction,Action,2011,89,3.8
49,The Perfect Alibi,Thriller,2021,107,3.8
50,The Brave Little Fox,Animation,2005,180,3.7
51,Shadowrealm,Fantasy,2002,92,2.7
52,The Last Sorcerer,Fantasy,2012,134,3.5
53,Steel Justice,Action,1996,87,3.5
54,Letters from Paris,Romance,1996,111,3.0
55,Voices of the Ocean,Documentary,2018,97,3.6
56,Deadline at Midnight,Thriller,2019,111,4.7
57,The Awkward Wedding,Comedy,2018,150,2.7
58,Rise of the Machines: A History,Documentary,1990,91,4.8
59,Neural Drift,Sci-Fi,2000,132,3.7
60,Beyond the Stars,Sci-Fi,2015,87,2.9
61,The Getaway Driver,Action,2014,113,4.8
62,Moonlight Voyage,Animation,2008,134,4.2
63,The Silent Forest,Documentary,2021,99,3.0
64,The Last Signal,Sci-Fi,1993,154,4.3
65,Iron Vendetta,Action,2010,87,2.6
66,Under the Sea Kingdom,Animation,2022,147,2.9
67,Chasing the Northern Lights,Documentary,1995,103,2.7
68,Office Chaos,Comedy,2005,131,2.8
69,Singularity Point,Sci-Fi,1992,159,2.7
70,The Last Glacier 2,Documentary,2010,113,3.0
71,Falling for a Stranger,Romance,2005,113,3.5
72,The Whistleblower,Thriller,2019,120,4.8
73,Vacation Gone Wrong,Comedy,1990,138,4.1
74,Best Man Blues,Comedy,1994,148,3.0
75,No Way Out,Thriller,1998,124,4.7
76,Quantum Horizon,Sci-Fi,2013,116,2.9
77,The Silent Forest 2,Documentary,2009,158,5.0
78,Life Underground 2,Documentary,1990,165,4.5
79,The Silent Witness 2,Thriller,1996,97,3.2
80,The Awkward Wedding 2,Comedy,1999,114,3.2
81,Neural Drift 2,Sci-Fi,2011,106,4.2
82,Cold Case Confession 2,Thriller,2022,142,3.1
83,The Getaway Driver 2,Action,1995,161,3.6
84,Cold Case Confession 3,Thriller,1992,80,3.3
85,A Mother's Promise,Drama,2006,100,4.4
86,Empire of Data 2,Documentary,2017,151,2.5
87,Best Man Blues 2,Comedy,1999,149,2.6
88,The Long Way Home,Romance,1999,135,2.8
89,The Whistleblower 2,Thriller,2013,85,4.7
90,Echoes of Tomorrow 2,Sci-Fi,2005,165,2.8
91,Empire of Data 3,Documentary,2016,159,4.4
92,The Martian Convoy 2,Sci-Fi,2000,102,4.7
93,Final Verdict 2,Action,2001,174,4.8
94,The Ivory Throne,Fantasy,2005,114,2.9
95,The Substitute Teacher 2,Comedy,2014,84,4.6
96,Quantum Horizon 2,Sci-Fi,2002,138,3.4
97,Ghost Protocol X 2,Sci-Fi,2004,83,4.2
98,The Witch's Bargain,Fantasy,2011,115,4.7
99,No Way Out 2,Thriller,2012,162,3.8
100,Voices of the Ocean 2,Documentary,2011,83,2.8
