user_id,movie_id,rating,watch_date
22,41,5,2026-03-04
9,20,2,2025-04-28
45,20,2,2026-03-21
27,53,3,2024-11-16
30,54,1,2025-10-26
27,50,5,2023-09-30
45,3,5,2025-05-01
31,1,3,2025-07-24
49,50,4,2024-11-20
48,95,5,2024-02-26
39,29,4,2025-10-13
18,56,4,2026-04-26
25,44,4,2024-05-14
11,60,2,2024-08-26
35,4,4,2024-09-26
37,85,1,2026-03-01
42,55,2,2023-12-20
30,24,1,2025-09-01
25,42,2,2025-02-14
21,44,4,2025-08-14
49,54,3,2024-01-22
6,61,1,2024-04-18
35,7,3,2025-10-08
42,9,1,2024-04-13
2,32,2,2024-01-17
2,80,2,2025-09-23
9,61,1,2024-10-25
14,60,3,2024-03-31
24,22,5,2024-09-11
48,92,1,2024-03-20
11,40,1,2024-10-10
2,40,5,2024-07-01
25,51,2,2026-03-09
38,89,2,2026-02-10
45,99,3,2024-01-06
44,77,1,2024-03-01
37,6,3,2024-11-26
28,85,3,2026-03-16
33,83,3,2026-05-13
27,63,1,2025-03-08
24,82,4,2024-05-31
10,56,2,2024-05-04
34,84,3,2024-09-02
35,100,4,2025-02-03
28,94,5,2025-08-24
21,32,1,2025-08-13
29,32,4,2024-10-19
40,86,4,2025-06-15
2,64,3,2025-11-20
32,28,3,2024-02-29
17,44,3,2023-12-06
39,90,3,2024-11-02
1,67,2,2026-02-27
16,93,4,2025-01-10
36,98,2,2024-06-17
31,83,4,2025-02-21
2,12,3,2025-10-11
26,89,2,2025-07-16
43,75,3,2025-01-26
36,68,3,2025-03-16
48,71,3,2025-05-30
45,59,3,2025-07-16
17,30,1,2024-05-17
13,41,1,2024-04-25
35,98,2,2025-11-10
14,95,4,2025-08-15
47,76,5,2024-09-21
19,13,2,2025-07-26
15,47,2,2025-07-20
1,91,5,2026-01-16
18,6,1,2024-11-05
19,90,2,2024-08-10
49,63,1,2023-12-14
1,74,3,2025-01-30
31,57,3,2025-11-18
4,33,4,2026-01-29
5,52,4,2026-03-11
37,81,1,2025-12-21
10,73,3,2026-02-27
16,16,5,2024-04-03
27,78,5,2024-03-07
40,29,5,2025-05-01
29,57,3,2023-12-27
38,55,3,2024-10-20
40,8,5,2023-09-15
48,13,2,2024-08-23
14,34,1,2025-12-16
16,23,5,2026-03-10
11,1,4,2025-02-18
45,77,4,2025-07-31
3,30,3,2024-06-01
19,90,4,2026-03-14
44,30,3,2024-03-10
41,76,2,2025-03-16
8,70,2,2024-07-31
10,35,2,2026-03-13
4,22,3,2024-09-23
48,73,3,2025-03-02
8,60,3,2024-06-08
26,35,5,2024-11-19
32,57,1,2024-09-20
3,56,3,2024-09-14
17,4,1,2025-10-03
44,74,5,2023-09-25
2,98,3,2024-10-12
3,98,2,2025-01-29
34,84,4,2023-10-30
18,24,5,2025-03-05
41,63,1,2025-01-29
23,53,3,2025-07-01
43,14,2,2025-06-22
27,89,4,2025-08-03
43,52,5,2026-04-18
30,12,3,2025-09-09
21,15,4,2023-12-22
33,1,5,2025-02-06
27,7,2,2024-12-11
24,80,4,2024-08-23
29,98,1,2025-10-29
18,71,2,2023-10-19
19,57,4,2026-01-21
2,81,5,2024-02-27
16,91,2,2025-07-11
36,2,5,2025-04-03
6,29,1,2025-02-07
8,83,2,2024-12-31
46,38,5,2024-06-02
18,54,4,2025-01-27
16,59,5,2025-12-28
25,25,5,2024-12-21
48,18,1,2025-08-16
50,54,3,2023-10-12
33,35,1,2025-08-09
47,39,5,2024-10-09
43,63,2,2025-02-22
35,62,3,2025-06-19
36,98,5,2025-05-04
30,42,2,2024-06-10
16,74,4,2025-09-28
50,53,1,2025-07-04
48,61,4,2025-04-25
43,84,2,2025-01-03
3,17,5,2023-09-10
38,43,1,2023-12-12
29,13,5,2023-11-05
30,2,2,2025-04-01
42,20,1,2025-01-30
17,44,5,2024-06-15
26,84,1,2024-01-04
22,87,5,2025-05-01
21,81,4,2023-12-14
35,5,5,2026-03-16
16,81,3,2025-10-05
48,12,4,2026-02-14
49,82,1,2025-02-25
11,89,3,2023-11-12
2,6,3,2024-03-01
4,38,3,2025-05-07
28,19,2,2024-11-28
27,73,2,2025-12-02
12,11,5,2023-12-16
25,80,2,2025-01-01
38,19,2,2025-02-07
41,33,4,2025-09-06
43,2,4,2023-11-15
19,87,5,2025-12-15
5,57,3,2024-10-01
20,82,4,2024-06-18
17,59,3,2025-11-03
25,62,1,2025-09-25
25,74,3,2024-10-14
19,90,3,2026-05-03
43,51,3,2026-05-17
37,88,1,2023-11-05
39,96,4,2024-01-24
19,100,2,2024-09-11
23,29,2,2024-08-28
17,87,2,2024-08-20
7,81,1,2025-07-13
29,5,5,2025-05-17
47,17,1,2023-11-06
19,42,4,2025-11-27
13,17,5,2023-12-10
24,68,5,2023-11-02
18,22,3,2023-11-02
31,38,3,2024-02-22
8,60,1,2026-01-01
49,29,4,2023-09-08
36,47,1,2024-03-07
26,2,3,2024-11-22
8,59,3,2024-07-06
48,87,3,2024-10-04
25,82,3,2026-02-04
44,30,4,2026-04-30
40,72,3,2023-10-31
40,29,1,2024-08-13
30,90,3,2024-07-30
27,15,2,2026-04-09
3,39,4,2026-01-27
7,31,5,2026-01-07
25,59,3,2024-07-08
48,90,5,2025-03-22
38,96,2,2023-12-01
27,84,1,2024-01-23
32,79,4,2023-10-07
18,5,3,2025-10-15
29,57,2,2024-01-01
24,13,3,2024-11-14
42,46,1,2025-04-13
18,25,1,2023-09-27
30,12,2,2024-08-06
41,77,1,2026-04-04
22,32,2,2024-03-11
37,27,1,2024-01-27
49,71,2,2024-10-02
14,30,3,2024-03-24
10,77,1,2025-08-15
10,17,5,2025-09-11
12,15,1,2026-01-11
1,46,2,2024-09-30
21,3,2,2025-08-27
4,17,4,2024-12-03
8,96,1,2025-01-23
29,100,3,2024-12-16
38,14,4,2024-12-26
15,79,1,2024-05-11
43,67,3,2025-02-10
42,4,1,2025-01-20
26,55,1,2025-01-08
46,57,1,2023-11-17
6,42,5,2025-12-25
5,17,3,2024-08-24
41,75,5,2024-05-26
21,49,5,2024-11-28
19,59,5,2024-09-13
28,13,1,2024-01-03
42,84,5,2024-05-17
14,56,4,2023-11-28
15,53,3,2024-01-29
30,52,4,2024-05-08
7,41,4,2025-07-09
43,33,3,2023-09-22
10,88,4,2026-03-18
6,11,1,2025-03-09
7,96,3,2024-02-14
9,72,1,2024-10-02
36,72,3,2024-07-08
8,53,3,2023-12-13
43,97,4,2023-12-19
47,7,3,2024-09-18
20,46,1,2024-10-11
33,28,2,2024-07-22
31,29,1,2025-06-01
36,48,1,2024-04-05
18,74,2,2024-02-19
28,72,5,2024-09-04
44,83,5,2026-04-29
39,85,3,2026-04-26
12,35,3,2023-10-25
22,45,1,2025-11-21
10,73,4,2026-03-15
10,95,1,2026-02-21
48,68,2,2025-05-05
27,59,3,2025-12-15
24,40,3,2024-03-21
37,77,1,2023-12-03
4,20,2,2024-04-13
40,7,1,2025-08-20
29,85,4,2025-01-13
39,57,4,2025-08-19
14,97,5,2026-01-29
23,56,1,2025-08-08
44,87,5,2025-01-12
34,86,3,2026-04-09
15,51,5,2026-03-30
1,27,3,2023-09-30
14,99,2,2024-04-03
17,38,3,2026-01-23
1,64,4,2025-11-27
9,49,5,2024-06-04
15,65,5,2024-01-23
43,46,1,2025-04-14
48,6,4,2026-05-06
30,10,3,2024-10-13
28,74,4,2024-05-29
41,54,3,2026-01-28
26,3,3,2025-12-01
40,59,3,2026-02-24
28,14,2,2025-03-05
38,52,5,2026-03-06
26,40,3,2025-10-11
22,100,2,2026-03-08
33,82,1,2024-11-28
33,25,3,2025-05-31
47,83,2,2025-09-26
7,19,3,2025-11-04
12,78,2,2024-04-07
49,84,1,2025-11-25
50,81,4,2025-02-04
49,73,5,2025-02-20
44,73,5,2025-06-29
41,41,2,2025-03-01
5,61,4,2024-08-17
20,36,5,2026-03-29
23,65,1,2025-07-12
30,58,1,2026-03-28
24,37,1,2024-08-03
6,79,5,2024-12-22
25,60,5,2024-11-04
48,6,4,2023-11-07
37,84,2,2025-06-30
39,61,5,2025-12-22
4,58,1,2024-02-15
22,92,1,2024-12-25
42,23,1,2025-09-14
46,57,4,2024-12-05
34,79,2,2025-05-18
24,37,4,2025-04-02
50,44,5,2026-04-02
41,83,3,2026-03-19
22,13,5,2024-06-30
25,37,3,2024-05-14
43,78,2,2025-06-18
6,75,2,2023-10-30
23,40,4,2026-01-13
39,91,1,2025-07-12
36,49,3,2024-02-13
9,86,5,2026-02-19
42,86,4,2024-12-21
24,3,3,2025-07-13
12,28,3,2023-09-28
50,63,2,2025-10-06
9,20,1,2025-07-27
7,65,5,2024-01-21
48,68,1,2024-07-17
22,99,5,2026-01-11
39,49,2,2025-12-10
12,89,5,2024-02-17
11,93,4,2026-04-11
27,47,2,2023-09-06
29,79,3,2024-04-15
48,58,2,2024-11-25
16,40,4,2023-11-12
13,48,5,2025-02-28
30,99,3,2024-03-20
25,65,5,2025-03-23
11,26,5,2026-01-04
17,7,4,2023-12-12
24,71,1,2024-05-27
34,16,3,2026-03-01
49,21,3,2025-02-19
33,19,4,2026-02-21
15,58,3,2023-10-16
2,54,1,2025-04-15
33,48,2,2025-04-25
6,48,2,2026-04-27
21,13,3,2024-03-06
10,18,1,2025-08-05
31,90,2,2024-04-08
46,61,4,2024-09-02
1,11,1,2025-09-05
14,20,5,2023-10-06
47,78,5,2025-03-18
8,100,3,2025-09-24
20,16,1,2025-09-23
27,82,5,2025-02-11
5,15,4,2024-09-21
35,3,5,2024-10-14
16,92,2,2025-07-31
28,1,5,2025-05-29
16,74,4,2025-11-15
43,86,1,2024-12-05
24,9,5,2024-11-14
33,65,5,2026-05-05
25,61,1,2024-08-13
25,48,3,2024-04-20
2,46,1,2025-06-06
16,94,1,2024-03-26
38,95,3,2026-01-09
3,46,5,2025-06-13
42,23,4,2024-06-12
31,81,2,2024-02-15
9,9,4,2026-04-18
19,26,1,2024-03-06
13,6,3,2023-10-13
20,66,4,2024-02-11
35,61,3,2026-04-18
49,83,2,2025-08-06
23,100,1,2023-12-21
42,43,3,2026-01-18
24,56,4,2024-04-24
29,50,3,2023-09-01
12,64,4,2025-05-14
34,35,1,2024-05-11
28,11,4,2024-09-16
12,70,3,2025-07-01
7,11,3,2024-07-18
19,40,4,2024-09-15
46,55,2,2024-06-18
29,45,4,2026-04-12
47,46,5,2025-03-06
18,82,1,2026-03-10
43,82,4,2025-05-18
