user_id,age,country,subscription_type
1,34,India,Premium
2,34,USA,Basic
3,56,Canada,Standard
4,64,UK,Standard
5,56,Germany,Basic
6,42,Germany,Basic
7,34,USA,Premium
8,45,USA,Premium
9,52,India,Standard
10,45,USA,Premium
11,39,Germany,Standard
12,60,USA,Premium
13,37,Germany,Standard
14,60,Canada,Standard
15,43,UK,Premium
16,26,India,Standard
17,60,Canada,Premium
18,65,India,Premium
19,54,UK,Standard
20,53,USA,Standard
21,36,India,Standard
22,55,Germany,Premium
23,38,Canada,Standard
24,46,India,Premium
25,48,India,Premium
26,23,UK,Premium
27,60,Germany,Standard
28,23,India,Premium
29,37,India,Basic
30,27,USA,Basic
31,33,Canada,Premium
32,22,Canada,Standard
33,58,Germany,Basic
34,63,Canada,Standard
35,43,India,Basic
36,59,USA,Basic
37,45,India,Basic
38,62,Germany,Standard
39,21,Germany,Basic
40,25,Canada,Basic
41,47,Germany,Premium
42,56,UK,Standard
43,57,Germany,Standard
44,53,Canada,Basic
45,65,Canada,Standard
46,34,India,Premium
47,35,Germany,Standard
48,58,India,Standard
49,46,USA,Premium
50,36,India,Standard
